,2011,2012,2013,2014,2015,2016,2017,2018
农副食品加工业,0.0022629342134778702,0.00318425403517621,0.003129584390392699,0.002998631404205054,0.003226530237647659,0.0033565296519416444,0.003405130736885499,0.00331915570359356
食品制造业,0.0013555481762938279,0.0021568852201560395,0.002355743589667884,0.001650296276266174,0.0017417313256033844,0.0018022440169131234,0.002355440156278313,0.0026719753898234153
酒、饮料和精制茶制造业,0.0005815337075945814,0.0006923224790940179,0.0007321102437237391,0.00072992322396544,0.0007740118606413004,0.0006962929983752352,0.0007803832316788825,0.0006224411749585014
烟草制品业,1.0762107660477568e-05,1.0988259542764688e-05,1.0710522133418665e-05,1.1394288758947749e-05,1.0843435477895734e-05,8.83035425459675e-06,8.193800283754678e-06,7.489484266792273e-06
纺织业,0.005316054967353824,0.004212633037228035,0.0036731252151744683,0.0035336907895157413,0.0034221759096503936,0.0026791756142967153,0.00226029713429784,0.0021021689151565015
纺织服装、服饰业,0.0070591374898474534,0.006877208933286546,0.00670255497143838,0.006170726790586184,0.006276029067100063,0.005737427056932221,0.003739492687925029,0.002124918320318754
皮革、毛皮、羽毛及其制品和制鞋业,0.004718339425207935,0.004683539092355161,0.0046609769908762385,0.004736952776252407,0.005000865442897005,0.005015639531029574,0.0035656581673543055,0.0017013324098870367
木材加工和木、竹、藤、棕、草制品业,0.0003374282881648449,0.00040883894319583113,0.0004534774564947972,0.00047926766913166313,0.0005609403209484023,0.0005401642930737325,0.0005393585316740915,0.0003048524809123793
家具制造业,0.0017052875785329923,0.002054588953576007,0.002359013168929527,0.002807548909473783,0.0032052907306454373,0.0034511005636440936,0.0036824536705946996,0.00373070283117977
造纸和纸制品业,0.03171811213150503,0.004300546090239617,0.0034478613229151677,0.003294692682675612,0.003338164160704596,0.0030747411199700974,0.004627361608125399,0.00429310450163551
印刷和记录媒介复制业,0.0006103300207264281,0.0006850929203668162,0.0009621715922026788,0.0009599155772971718,0.0009030486700624599,0.0008538250737793596,0.0008927640112090652,0.0010288409728232814
文教、工美、体育和娱乐用品制造业,0.00516990597876891,0.005572228838316067,0.005399380225997386,0.005835293482378988,0.005026483507565085,0.004284743348589342,0.0038089504901470143,0.003078248835374027
石油加工、炼焦和核燃料加工业,0.0046292866700190245,0.009496725806618643,0.007613565832855126,0.00391367823096217,0.002003097668569654,0.0018520301008837384,0.0019886848010654125,0.004094190008579105
化学原料和化学制品制造业,0.03830598378688548,0.047107289034991444,0.04243794057911181,0.04888489631798286,0.04551688732591771,0.043930745290278336,0.03783807281782349,0.03979785429228536
医药制造业,0.0012285820805975445,0.0013126064849543276,0.0014210065799562176,0.0015215827853884557,0.0016919379581532997,0.0018169640164015849,0.0015278610118873853,0.0013823620534760056
化学纤维制造业,7.180599649641812e-05,6.2258433099379e-05,4.8348919731237044e-05,3.771774856604535e-05,2.2263093651795076e-05,1.6540437908175983e-05,5.275130522586736e-05,1.8330282032276882e-05
橡胶和塑料制品业,0.011877623517399637,0.012602708189071849,0.013870955700253618,0.014728004345032063,0.01633490418584683,0.01689270639755335,0.015146425816897537,0.015398293702019037
非金属矿物制品业,0.011227414114816066,0.01215226159674172,0.014519630618120838,0.015582970386328244,0.013949876240571394,0.0133877734769207,0.016280955613574538,0.01881109167313377
黑色金属冶炼和压延加工业,0.0030377372207552383,0.0029483398125149576,0.0030542918908304808,0.0018497772683614567,0.0015210391280894812,0.0014641916763194218,0.0012140157627009676,0.0009689718669086254
有色金属冶炼和压延加工业,0.010496076648085967,0.009081921217635465,0.0082528710697933,0.006626415052888252,0.00560722357689773,0.006570708753191223,0.004087531760348184,0.005216170545122978
金属制品业,0.03213644646134121,0.02992340621073543,0.031193907739411792,0.03434676454761566,0.0341807144170452,0.03226709108142904,0.038069120263331487,0.039939269654445504
通用设备制造业,0.010071399125817915,0.009500972446116241,0.008945148533704895,0.009845804524303843,0.010482522584144876,0.01076625083262337,0.013638761512175551,0.011335149784959343
专用设备制造业,0.0024249962476459823,0.002655728805752953,0.002494807431899046,0.0029882119209733043,0.00373107784040227,0.005000907648766232,0.006812863827609211,0.005627481875396775
汽车制造业,0.007313730505862463,0.008014108384295377,0.009500818640613945,0.01147455125936836,0.013318343074829195,0.017605828360398763,0.024751982737697503,0.0247388559543069
铁路、船舶、航空航天和其他运输设备制造业,0.001891006287378866,0.0023732691281619796,0.0018503643307308997,0.0015675704888013684,0.0015866068926087143,0.0015798841056414296,0.0010254854139549467,0.0008405439220226485
电气机械和器材制造业,0.13404739539768562,0.11903963944916586,0.11917399825189015,0.12562561852542986,0.12818961210833485,0.1314969671169869,0.11689248824055826,0.13397490983480836
计算机、通信和其他电子设备制造业,0.3918614770104373,0.5339975386408531,0.5481445587577896,0.5626370124132274,0.5968182797016982,0.5849888418420047,0.5614202788886782,0.5332305724831796
仪器仪表制造业,0.0002579891652258221,0.00031308425376809973,0.00037282318302713565,0.00036509376707085793,0.0004122656108187488,0.0004918129796368917,0.0006113779843088037,0.0005873769473112945
